Serial_number:,,,,,
2000706,,,,,
Project ID:,,,,,
ESC,,,,,
Location:,,,,,
EDC 50,,,,,
Elevation,Elevation of #153,,,,
560,396,,,,
LEVEL,,,,,
UNIT: kPa,,,,,
Offset: 0.000000 kPa,,,,,
TEMPERATURE,,,,,
UNIT: _C,,,,,
Date,Time,ms,LEVEL,TEMPERATURE,kpa_ft
12/23/2013,7:01:50,0,102.016,15.969,0.795227622
12/23/2013,7:16:50,0,102.029,15.941,0.799308876
12/23/2013,7:31:50,0,102.048,15.913,0.805273785
12/23/2013,7:46:50,0,102.059,15.885,0.808727153
12/23/2013,8:01:50,0,102.078,15.857,0.814692062
12/23/2013,8:16:50,0,102.078,15.827,0.814692062
12/23/2013,8:31:50,0,102.085,15.799,0.81688966
12/23/2013,8:46:50,0,102.091,15.772,0.818773316
12/23/2013,9:01:50,0,102.095,15.745,0.820029086
12/23/2013,9:16:50,0,102.105,15.723,0.823168512
12/23/2013,9:31:50,0,102.104,15.703,0.822854569
12/23/2013,9:46:50,0,102.114,15.689,0.825993995
12/23/2013,10:01:50,0,102.114,15.676,0.825993995
12/23/2013,10:16:50,0,102.111,15.667,0.825052167
12/23/2013,10:31:50,0,102.086,15.66,0.817203603
12/23/2013,10:46:50,0,102.076,15.654,0.814064177
12/23/2013,11:01:50,0,102.058,15.649,0.808413211
12/23/2013,11:16:50,0,102.024,15.646,0.797739163
12/23/2013,11:31:50,0,102.001,15.645,0.790518484
12/23/2013,11:46:50,0,101.972,15.644,0.781414149
12/23/2013,12:01:50,0,101.954,15.646,0.775763183
12/23/2013,12:16:50,0,101.923,15.65,0.766030963
12/23/2013,12:31:50,0,101.909,15.657,0.761635767
12/23/2013,12:46:50,0,101.893,15.666,0.756612685
12/23/2013,13:01:50,0,101.869,15.679,0.749078063
12/23/2013,13:16:50,0,101.858,15.694,0.745624695
12/23/2013,13:31:50,0,101.838,15.71,0.739345843
12/23/2013,13:46:50,0,101.828,15.729,0.736206418
12/23/2013,14:01:50,0,101.825,15.75,0.73526459
12/23/2013,14:16:50,0,101.817,15.773,0.732753049
12/23/2013,14:31:50,0,101.804,15.799,0.728671796
12/23/2013,14:46:50,0,101.776,15.826,0.719881404
12/23/2013,15:01:50,0,101.789,15.854,0.723962657
12/23/2013,15:16:50,0,101.78,15.885,0.721137174
12/23/2013,15:31:50,0,101.777,15.918,0.720195346
12/23/2013,15:46:50,0,101.774,15.951,0.719253518
12/23/2013,16:01:50,0,101.781,15.985,0.721451117
12/23/2013,16:16:50,0,101.775,16.019,0.719567461
12/23/2013,16:31:50,0,101.772,16.054,0.718625633
12/23/2013,16:46:50,0,101.763,16.087,0.71580015
12/23/2013,17:01:50,0,101.768,16.121,0.717369863
12/23/2013,17:16:50,0,101.773,16.153,0.718939576
12/23/2013,17:31:50,0,101.771,16.184,0.718311691
12/23/2013,17:46:50,0,101.781,16.213,0.721451117
12/23/2013,18:01:50,0,101.778,16.243,0.720509289
12/23/2013,18:16:50,0,101.786,16.27,0.723020829
12/23/2013,18:31:50,0,101.783,16.296,0.722079002
12/23/2013,18:46:50,0,101.777,16.321,0.720195346
12/23/2013,19:01:50,0,101.775,16.344,0.719567461
12/23/2013,19:16:50,0,101.772,16.366,0.718625633
12/23/2013,19:31:50,0,101.778,16.387,0.720509289
12/23/2013,19:46:50,0,101.765,16.406,0.716428035
12/23/2013,20:01:50,0,101.764,16.423,0.716114093
12/23/2013,20:16:50,0,101.772,16.438,0.718625633
12/23/2013,20:31:50,0,101.772,16.452,0.718625633
12/23/2013,20:46:50,0,101.765,16.463,0.716428035
12/23/2013,21:01:50,0,101.761,16.473,0.715172265
12/23/2013,21:16:50,0,101.767,16.483,0.71705592
12/23/2013,21:31:50,0,101.779,16.488,0.720823231
12/23/2013,21:46:50,0,101.781,16.493,0.721451117
12/23/2013,22:01:50,0,101.777,16.496,0.720195346
12/23/2013,22:16:50,0,101.777,16.498,0.720195346
12/23/2013,22:31:50,0,101.755,16.5,0.713288609
12/23/2013,22:46:50,0,101.768,16.5,0.717369863
12/23/2013,23:01:50,0,101.76,16.499,0.714858322
12/23/2013,23:16:50,0,101.751,16.497,0.712032839
12/23/2013,23:31:50,0,101.739,16.493,0.708265528
12/23/2013,23:46:50,0,101.733,16.488,0.706381873
12/24/2013,0:01:50,0,101.718,16.481,0.701672734
12/24/2013,0:16:50,0,101.69,16.472,0.692882342
12/24/2013,0:31:50,0,101.682,16.462,0.690370801
12/24/2013,0:46:50,0,101.678,16.449,0.689115031
12/24/2013,1:01:50,0,101.684,16.436,0.690998686
12/24/2013,1:16:50,0,101.696,16.421,0.694765997
12/24/2013,1:31:50,0,101.703,16.405,0.696963595
12/24/2013,1:46:50,0,101.705,16.39,0.697591481
12/24/2013,2:01:50,0,101.696,16.372,0.694765997
12/24/2013,2:16:50,0,101.691,16.354,0.693196284
12/24/2013,2:31:50,0,101.702,16.334,0.696649653
12/24/2013,2:46:50,0,101.696,16.315,0.694765997
12/24/2013,3:01:50,0,101.706,16.293,0.697905423
12/24/2013,3:16:50,0,101.696,16.271,0.694765997
12/24/2013,3:31:50,0,101.692,16.249,0.693510227
